,release_speed,release_pos_x,release_pos_z,batter,pitcher,zone,hit_location,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,outs_when_up,inning,hc_x,hc_y,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,home_score,away_score,opp_hand,x0_CH,x0_CU,x0_EP,x0_FC,x0_FF,x0_FS,x0_FT,x0_KC,x0_SI,x0_SL,HitClf
0,85.8,-1.55,5.09,643393,593372,5.0,6.0,1,1,1.0,-0.14,0.01,2.23,2,9,95.8,117.19,1.71981422125503,-124.639116989579,-0.179306365492595,9.55691367447973,26.7276318885449,-33.8650321511271,3.05,1.45,207.0,72.5,50.0,83.5,,5.0,566647,55.46,0.14800000000000002,0.14400000000000002,0.0,1.0,0.0,0.0,3.0,69,3,9,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1,88.8,-1.54,5.27,623520,593372,1.0,2.0,2,2,-0.83,-0.25,-0.62,3.0,1,9,,,3.82927969074745,-128.993544968958,0.97226928958839,-9.719647033437099,27.0939916506222,-35.30934615422729,3.45,1.57,,,,87.0,1687.0,5.3,566647,55.2,,,0.0,1.0,0.0,0.0,,68,6,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,94.5,-1.59,5.16,518614,593372,1.0,8.0,0,1,-1.38,0.32,-0.42,2.81,0,9,105.75,37.93,5.85842868914837,-137.37652281388398,-1.10718352899513,-18.0917054242911,29.2434550028963,-28.2995780597997,3.22,1.53,383.0,97.9,28.0,92.9,2014.0,5.3,566647,55.2,0.547,0.937,0.0,1.0,0.0,0.0,6.0,67,2,9,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
3,93.5,-2.34,6.51,663538,606149,13.0,6.0,1,2,-0.86,1.33,-0.85,1.58,1,8,113.88,155.78,5.5844686644414905,-135.62732790959498,-9.67257342384599,-11.546215853515198,28.718195464039002,-14.286321346017,3.35,1.59,17.0,97.1,-5.0,92.4,2316.0,5.8,566647,54.75,0.315,0.301,0.0,1.0,0.0,0.0,2.0,61,6,9,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
4,94.0,-2.41,6.52,605170,606149,4.0,8.0,0,0,-1.15,1.22,-0.31,2.39,1,8,101.01,73.42,7.7413801597689496,-136.327605509955,-7.439749436185879,-15.578643388323,29.1549041295582,-16.0778652943098,3.3,1.6,215.0,103.0,9.0,92.5,2337.0,5.5,566647,54.99,0.77,0.7240000000000001,0.9,1.0,1.0,0.0,4.0,60,1,9,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
5,84.9,-2.53,6.49,575929,606149,9.0,6.0,2,1,0.2,-0.1,0.66,1.75,0,8,116.93,157.81,6.86589616687431,-123.085232551942,-4.396011508394009,0.556654480450905,25.1701941927107,-32.496244344804204,3.15,1.47,46.0,81.6,2.0,82.3,2155.0,4.8,566647,55.68,0.292,0.285,0.0,1.0,0.0,0.0,2.0,59,4,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
6,86.3,-2.58,5.51,596825,656427,13.0,2.0,1,2,0.55,0.05,-0.2,1.34,2,7,,,4.5382929474503895,-125.605152425989,-3.82010797160692,4.992683955540481,25.100393045913602,-31.131083338567098,3.3,1.56,,,,86.7,2545.0,6.5,566647,54.03,,,0.0,1.0,0.0,0.0,,55,4,9,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
7,94.3,-2.27,5.58,450314,656427,9.0,4.0,0,0,-0.49,1.35,0.49,1.86,1,7,154.15,150.36,8.39870876924722,-137.052142355079,-7.11108765863698,-8.22658504408704,30.751566210068003,-13.368014235629499,3.5,1.66,94.0,74.7,9.0,95.4,2296.0,7.0,566647,53.45,0.275,0.248,0.0,1.0,0.0,0.0,2.0,53,1,9,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
8,93.9,-2.5,5.5,643393,656427,1.0,1.0,3,2,-0.47,1.31,-0.82,2.76,0,7,130.64,184.22,5.46874274365044,-136.798742940605,-4.41813737588561,-7.11812572425741,28.442235524146103,-14.6610098325172,3.05,1.45,20.0,85.5,-6.0,95.2,2387.0,6.9,566647,53.64,0.142,0.128,0.0,1.0,0.0,0.0,2.0,52,6,9,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
9,95.2,-2.39,5.41,656803,656427,6.0,4.0,0,0,-0.52,1.24,0.59,2.25,2,6,146.46,137.37,9.1139193744161,-138.42748096371702,-5.58793583106487,-8.692089286493982,27.5745460987498,-14.838797497210901,3.05,1.45,131.0,80.4,8.0,96.6,2382.0,6.9,566647,53.63,0.365,0.337,0.0,1.0,0.0,0.0,4.0,47,1,9,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
